1	1-1	[0:1]	[0:1]	Table of contents	Table des matières	0.6852
2771	1-1	[1994:1995]	[1994:1995]	Legislative proposals released on July 12, 2024, related to implementing an opt-in Fuel, Alcohol, Cannabis, Tobacco and Vaping (FACT) value-added sales tax framework for interested Indigenous governments.	Propositions législatives publiées le 12 juillet 2024 relatives à la mise en œuvre d'un cadre à adhésion volontaire pour la perception de taxes de vente à valeur ajoutée sur le carburant, l'alcool, le cannabis, le tabac et les produits de vapotage (CACT) pour les gouvernements autochtones intéressés.	0.6351
2772	1-1*	[1995:1997]|subS[0:1/3]	[1995:1997]|subT[0:1/2]	The proposed exemption from the Alternative Minimum Tax for certain trusts for the benefit of Indigenous groups announced in Budget 2024. The proposed increase in the Lifetime Capital Gains Exemption to apply to up to	L'exonération proposée de l'impôt minimum de remplacement pour certaines fiducies au profit de groupes autochtones, annoncée dans le budget de 2024.	0.4407
2773	2-1*	[1995:1997]|subS[1:3/3]	[1995:1997]|subT[1:2/2]	$ 1.25 million of eligible capital gains announced in Budget 2024.	L'augmentation proposée de l'exonération cumulative des gains en capital, annoncée dans le budget de 2024, pour qu'elle s'applique jusqu'à concurrence de 1,25 million de dollars des gains en capital admissibles.	0.4406
2774	1-1	[1997:1998]	[1997:1998]	Legislative and regulatory proposals announced in Budget 2024 with respect to a new importation limit for packaged raw leaf tobacco for personal use.	Propositions législatives et réglementaires annoncées dans le budget de 2024 concernant une nouvelle limite à l'importation du tabac en feuilles emballé pour usage personnel.	0.6547
2775	1-1	[1998:1999]	[1998:1999]	Tax measures to amend the Excise Tax Act , the Air Travellers Security Charge Act , the Excise Act, 2001 and the Select Luxury Items Tax Act to give effect to the proposals relating to non-compliance with information requests and to avoidance of tax debts announced in Budget 2024.	Mesures fiscales visant à modifier la Loi sur la taxe d'accise, la Loi sur le droit pour la sécurité des passagers du transport aérien, la Loi de 2001 sur l'accise et la Loi sur la taxe sur certains biens de luxe pour donner effet aux propositions liées à la non-conformité aux demandes de renseignements et à l'évitement de dettes fiscales annoncées dans le budget de 2024.	0.6114
2776	2-1*	[1999:2000]|subS[0:2/3]	[1999:2000]|subT[0:1/2]	Legislative and regulatory proposals released on August 4,2023, including with respect to the following measures: Technical amendments to GST/HST rules for financial institutions;	Propositions législatives et réglementaires publiées le 4 août 2023, notamment en ce qui concerne les mesures suivantes : Modifications techniques aux règles de la TPS/TVH pour les institutions financières;	0.5470
2777	1-1*	[1999:2000]|subS[2:3/3]	[1999:2000]|subT[1:2/2]	Tax-exempt sales of motive fuels for export; and Revised Luxury Tax draft regulations to provide greater clarity on the tax treatment of luxury items.	Ventes exemptes de taxe de carburants moteurs pour l'exportation; Projet de règlement révisé sur la taxe de luxe pour clarifier le traitement fiscal des biens de luxe.	0.5563
2778	2-1*	[2000:2002]|subS[0:2/3]	[2000:2002]|subT[0:1/2]	Legislative and regulatory proposals released on August 9,2022, including with respect to the following measures: Technical amendments to the Income Tax Act and Income Tax Regulations ; and Remaining legislative and regulatory proposals relating to the GST/HST, excise levies and other taxes and charges.	Propositions législatives et réglementaires publiées le 9 août 2022, notamment en ce qui concerne les mesures suivantes : Modifications techniques à la Loi de l'impôt sur le revenu et à son règlement; Autres propositions législatives et réglementaires liées à la TPS/TVH, aux droits d'accise et à d'autres taxes et redevances.	0.5699
2779	1-1*	[2000:2002]|subS[2:3/3]	[2000:2002]|subT[1:2/2]	Legislative amendments to implement the Hybrid Mismatch Arrangements rules announced in Budget 2021.	Propositions législatives pour mettre en œuvre les règles sur les dispositions hybrides annoncées dans le budget de 2021.	0.5948
2780	1-1	[2002:2003]	[2002:2003]	The income tax measure announced on December 20, 2019, to extend the maturation period of amateur athlete trusts maturing in 2019 by one year, from eight years to nine years.	La mesure liée à l'impôt sur le revenu annoncée le 20 décembre 2019 afin de repousser d'un an l'échéance des fiducies au profit d'un athlète amateur qui arrivent à échéance en 2019, la faisant ainsi passer de huit ans à neuf ans.	0.6512
2781	1-1	[2003:2004]	[2003:2004]	Budget 2025 also reaffirms the government's commitment to move forward as required with other technical amendments to improve the certainty and integrity of the tax system.	Le budget de 2025 confirme également l'engagement du gouvernement à procéder au besoin à d'autres modifications techniques afin d'améliorer la certitude et l'intégrité du régime fiscal.	0.6684
2782	2-2	[2004:2006]	[2004:2006]	Notice of Ways and Means Motion to Amend the Income Tax Act and the Income Tax Regulations That it is expedient to amend the Income Tax Act (the "Act") and the Income Tax Regulations (the "Regulations") as follows:	Avis de motion de voies et moyens visant à modifier la Loi de l'impôt sur le revenu et le Règlement de l'impôt sur le revenu Il y a lieu de modifier la Loi de l'impôt sur le revenu (la Loi) et le Règlement de l'impôt sur le revenu (le Règlement) comme suit :	0.5017
2783	2-2	[2006:2008]	[2006:2008]	Personal Support Workers Tax Credit 1 (1) The Income Tax Act is amended by adding the following after section 122.92: SUBDIVISION A.7 Personal Support Worker Tax Credit Marginal note: Definitions 122.93 (1) The following definitions apply in this section. eligible health care establishment eligible health care establishment means a hospital, nursing care facility, residential care facility, community care facility for the elderly, home health care establishment and similar regulated health care establishments. ( établissement de soins de santé admissible ) eligible personal support worker eligible personal support worker , for a taxation year, means an individual (a) who performs duties of employment in the capacity of a personal support worker for an eligible health care establishment during the taxation year (in this definition referred to as the "duties for the year"); (b) who, in the course of performing the duties for the year, ordinarily provides one-on-one care and essential support to optimize and maintain another individual's health, well-being, safety, autonomy and comfort consistent with that other individual's health care needs as directed by a regulated health care professional or a provincial or community health organization; and (c) whose main duties of employment, in respect of the duties for the year, include assisting individuals with activities of daily living and mobilization. ( préposé aux services de soutien à la personne admissible ) return of income return of income , filed by an eligible personal support worker for a taxation year, means a return of income (other than a return of income under subsection 70(2) or 104(23), paragraph 128(2)(e) or subsection 150(4)) that is required to be filed for the taxation year or that would be required to be filed if the eligible personal support worker had tax payable under this Part for the taxation year. ( déclaration de revenu ) yearly eligible remuneration yearly eligible remuneration of an individual for a taxation year means the total of all amounts, each of which (a) would be, in the absence of section 8 and paragraph 81(1)(a), the individual's income for the taxation year from an office or employment as an eligible personal support worker for an eligible health care establishment in a province, other than duties performed in Newfoundland and Labrador, the Northwest Territories and British Columbia; and (b) is certified by the individual's employer in the prescribed form and manner to be an amount that satisfies the description under paragraph (a). ( rémunération annuelle admissible ) Marginal note: Deemed overpayment — yearly eligible remuneration (2) An eligible personal support worker, for a taxation year that begins after 2025 and that ends before 2031, who files a return of income for the taxation year and makes a claim under this subsection, is deemed to have paid, at the end of the taxation year, on account of tax payable under this Part for the taxation year, an amount equal to the lesser of (a) $1,100, and (b) 5% of the eligible personal support worker's yearly eligible remuneration for the taxation year. Marginal note: Effect of bankruptcy (3) For the purpose of this Subdivision, if an individual becomes bankrupt in a particular calendar year (a) despite subsection 128(2), any reference to a taxation year of the individual (other than in this subsection) is deemed to be a reference to the particular calendar year; and (b) the individual's yearly eligible remuneration for the taxation year ending on December 31 of the particular calendar year is deemed to include the individual's yearly eligible remuneration for the taxation year that begins on January 1 of the particular calendar year. Marginal note: Special rules in the event of death (4) For the purpose of this Subdivision, if an individual dies before the end of a calendar year, any return of income filed by a legal representative of the individual is deemed to be a return of income filed by the individual.	Crédit d'impôt pour les préposés aux services de soutien à la personne 1 (1) La Loi de l'impôt sur le revenu est modifiée par adjonction, après l'article 122.92, de ce qui suit : SOUS-SECTION A.7 Crédit d'impôt pour les préposés aux services de soutien à la personne Note marginale : Définitions 122.93 (1) Les définitions qui suivent s'appliquent au présent article. déclaration de revenu déclaration de revenu Déclaration de revenu produite par un préposé aux services de soutien à la personne admissible pour une année d'imposition, sauf celle qui est à produire aux termes des paragraphes 70(2) ou 104(23), de l'alinéa 128(2)e) ou du paragraphe 150(4), qu'un préposé aux services de soutien à la personne admissible est tenu de produire pour une année d'imposition ou qu'il serait tenu de produire s'il avait un impôt à payer en vertu de la présente partie pour l'année. ( return of income ) établissement de soins de santé admissible établissement de soins de santé admissible Hôpital, établissement de soins infirmiers, établissement de soins pour bénéficiaires internes, établissement communautaire de soins pour personnes âgées, établissement de soins de santé à domicile et autres établissements de soins de santé réglementés similaires. ( eligible health care establishment ) préposé aux services de soutien à la personne admissible préposé aux services de soutien à la personne admissible Pour une année d'imposition, s'entend d'un particulier, à la fois : a) qui accomplit des fonctions en sa qualité de préposé aux services de soutien à la personne pour un établissement de soins de santé admissible au cours de l'année d'imposition (appelées « fonctions pour l'année » à la présente définition); b) qui, dans le cadre de l'exécution des fonctions pour l'année, fournit habituellement des soins individuels et un soutien essentiel afin d'optimiser et de maintenir la santé d'un autre particulier, son bien-être, sa sécurité, son autonomie et son confort, selon ses besoins en matière de soins de santé, conformément aux directives d'un professionnel de soins de santé réglementé ou d'un organisme de santé provincial ou communautaire; c) dont les fonctions principales, relativement aux fonctions pour l'année, incluent l'aide aux particuliers dans leurs activités de la vie quotidienne et leur mobilisation. ( eligible personal support worker ) rémunération annuelle admissible rémunération annuelle admissible Relativement à un particulier pour une année d'imposition, la somme de tous les montants qui, à la fois : a) seraient, compte non tenu de l'article 8 et de l'alinéa 81(1)a), le revenu du particulier pour l'année d'imposition tiré d'une charge ou d'un emploi à titre de préposé aux services de soutien à la personne admissible pour un établissement de soins de santé admissible dans une province, à l'exception des fonctions accomplies à Terre-Neuve-et-Labrador, dans les Territoires du Nord-Ouest et en Colombie-Britannique; b) sont attestés par son employeur, dans la forme et selon les modalités prescrites, comme étant des montants visés à l'alinéa a). ( yearly eligible remuneration ) Note marginale : Paiement en trop réputé –– rémunération annuelle admissible (2) Le préposé aux services de soutien à la personne admissible qui produit une déclaration de revenu pour une année d'imposition commençant après 2025 et se terminant avant 2031 et qui fait une demande en vertu du présent paragraphe est réputé avoir payé, à la fin de l'année, au titre de son impôt payable en vertu de la présente partie pour l'année, une somme égale au moins élevé des montants suivants : a) 1 100 $; b) 5 % de la rémunération annuelle admissible du préposé aux services de soutien à la personne admissible pour l'année d'imposition. Note marginale : Effet de la faillite (3) Pour l'application de la présente sous-section, si un particulier devient failli au cours d'une année civile donnée : a) malgré le paragraphe 128(2), toute mention (sauf au présent paragraphe) d'une année d'imposition du particulier vaut mention de l'année civile donnée; b) la rémunération annuelle admissible du particulier pour l'année d'imposition se terminant le 31 décembre de l'année civile donnée est réputée comprendre la rémunération annuelle admissible du particulier pour l'année d'imposition qui commence le 1 er janvier de l'année civile donnée. Note marginale : Règles spéciales –– décès (4) Pour l'application de la présente sous-section, si le particulier décède avant la fin d'une année civile, toute déclaration de revenu produite par le représentant légal du particulier est réputée être une déclaration de revenu produite par le particulier.	0.5061
2784	1-1	[2008:2009]	[2008:2009]	(2) Subsection (1) applies to the 2026 and subsequent taxation years.	(2) Le paragraphe (1) s'applique aux années d'imposition 2026 et suivantes.	0.7158
2785	1-1	[2009:2010]	[2009:2010]	2 (1) Paragraph 152(1)(b) of the Act is replaced by the following: (b) the amount of tax, if any, deemed by any of subsections 120(2) or (2.2), 122.5(3) to (3.003), 122.51(2), 122.7(2) or (3), 122.72(1), 122.8(4), 122.9(2), 122.91(1), 122.93(2), 125.4(3), 125.5(3), 125.6(2) or (2.1), 127.1(1), 127.41(3), 127.44(2), 127.45(2), 127.48(2), 127.49(2) or 210.2(3) or (4) to be paid on account of the taxpayer's tax payable under this Part for the year.	2 (1) L'alinéa 152(1)b) de la même loi est remplacé par ce qui suit : b) le montant d'impôt qui est réputé, en application des paragraphes 120(2) ou (2.2), 122.5(3) à (3.003), 122.51(2), 122.7(2) ou (3), 122.72(1), 122.8(4), 122.9(2), 122.91(1), 122.93(2), 125.4(3), 125.5(3), 125.6(2) ou (2.1), 127.1(1), 127.41(3), 127.44(2), 127.45(2), 127.48(2), 127.49(2) ou 210.2(3) ou (4), avoir été payé au titre de l'impôt payable par le contribuable en vertu de la présente partie pour l'année.	0.7406
2786	1-1	[2010:2011]	[2010:2011]	(2) Paragraph 152(4.2)(b) of the Act is replaced by the following: (b) redetermine the amount, if any, deemed by any of subsections 120(2) or (2.2), 122.5(3) to (3.003), 122.51(2), 122.7(2) or (3), 122.8(4), 122.9(2), 122.91(1), 122.93(2), 127.1(1), 127.41(3) or 210.2(3) or (4) to be paid on account of the taxpayer's tax payable under this Part for the year or deemed by subsection 122.61(1) to be an overpayment on account of the taxpayer's liability under this Part for the year.	(2) L'alinéa 152(4.2)b) de la même loi est remplacé par ce qui suit : b) déterminer de nouveau l'impôt qui est réputé, par les paragraphes 120(2) ou (2.2), 122.5(3) à (3.003), 122.51(2), 122.7(2) ou (3), 122.8(4), 122.9(2), 122.91(1), 122.93(2), 127.1(1), 127.41(3) ou 210.2(3) ou (4), avoir été payé au titre de l'impôt payable par le contribuable en vertu de la présente partie pour l'année ou qui est réputé, par le paragraphe 122.61(1), être un paiement en trop au titre des sommes dont le contribuable est redevable en vertu de la présente partie pour l'année.	0.7281
2787	1-1	[2011:2012]	[2011:2012]	(3) Subsections (1) and (2) apply to the 2026 and subsequent taxation years.	(3) Les paragraphes (1) et (2) s'appliquent aux années d'imposition 2026 et suivantes.	0.7052
2788	1-1	[2012:2013]	[2012:2013]	3 (1) Subsection 163(2) of the Act is amended by adding the following after paragraph (c.6): (c.7) the amount, if any, by which (i) the amount that would be deemed by subsection 122.93(2) to have been paid for the year by the person if that amount were calculated by reference to the person's claim for the year under that subsection exceeds (ii) the amount that is deemed by that subsection to be paid for the year by the person,	3 (1) Le paragraphe 163(2) de la même loi est modifié par adjonction, après l'alinéa c.6), de ce qui suit : c.7) l'excédent éventuel du montant visé au sous-alinéa (i) sur le montant visé au sous-alinéa (ii) : (i) le montant qui serait réputé, par le paragraphe 122.93(2), avoir été payé pour l'année par la personne si ce montant était calculé en fonction de la somme demandée par la personne pour l'année en vertu de ce paragraphe, (ii) le montant qui est réputé, par ce paragraphe, avoir été payé pour l'année par la personne;	0.6793
2789	1-1	[2013:2014]	[2013:2014]	(2) Subsection (1) applies to the 2026 and subsequent taxation years.	(2) Le paragraphe (1) s'applique aux années d'imposition 2026 et suivantes.	0.7159
2790	2-2	[2014:2016]	[2014:2016]	Automated Federal Benefits for Lower-Income Individuals 1 (1) Subsection 150.1(4) of the Act is replaced by the following: Marginal note: Declaration (4) If a return of income of a taxpayer for a taxation year is filed by way of electronic filing by a particular person (in this subsection referred to as the "filer") other than the person who is required to file the return, or the Minister pursuant to section 150.2, the person who is required to file the return shall make an information return in prescribed form containing prescribed information, retain a copy of it and provide the filer with the information return, and that return and the copy shall be deemed to be a record referred to in section 230 in respect of the filer and the other person.	Prestations fédérales automatisées pour les personnes à faible revenu 1 (1) Le paragraphe 150.1(4) de la même loi est remplacé par ce qui suit : Note marginale : Déclaration (4) Si la déclaration de revenu d'un contribuable pour une année d'imposition est produite par voie électronique par une personne donnée (appelée « déclarant » au présent paragraphe) autre que la personne qui est tenue de la produire ou le ministre en application de l'article 150.2, cette dernière est tenue d'établir une déclaration de renseignements sur formulaire prescrit contenant les renseignements prescrits, d'en conserver une copie et de remettre la déclaration au déclarant. La déclaration et la copie sont réputées être un registre visé à l'article 230 du déclarant et de cette personne.	0.5533
2791	1-1	[2016:2017]	[2016:2017]	(2) Subsection (1) applies to the 2025 and subsequent taxation years.	(2) Le paragraphe (1) s'applique aux années d'imposition 2025 et suivantes.	0.7123
2792	1-1	[2017:2018]	[2017:2018]	2 (1) The Act is amended by adding the following after section 150.1: Marginal note: Conditions 150.2 (1) The Minister may file a return of income for a taxation year of an individual (other than a trust) resident in Canada throughout the year if the following conditions are satisfied: (a) the individual has not notified the Minister not to file a return of income for the year on the individual's behalf; (b) the individual has not filed a return of income for at least one of the three immediately preceding taxation years; (c) the individual has not filed a return of income for the year on or before the day that is 90 days after the filing-due date for the year; (d) all of the individual's income for the year, if any, was reported in an information return filed with the Minister for the year; (e) the individual's taxable income for the year does not exceed the lesser of (i) the amount determined by the formula A + B + C where A is the amount determined under subsection 118(1.1) for the year, B is the amount, if any, that may be deducted by the individual for the year under subsection 118(2), and C is the amount, if any, that may be deducted by the individual for the year under subsection 118.3(1), and (ii) the amount determined by the formula D + E + F where D is, in the case of an individual resident at the end of the year, in (A) Quebec, the amount determined for A in subparagraph (i), or (B) a province other than Quebec, the amount, if any, determined for the year under provincial income tax law similar in substance to subsection 118(1.1), E is, in the case of an individual resident at the end of the year, in (A) Quebec, the amount determined for B in subparagraph (i), or (B) a province other than Quebec, the amount, if any, determined for the year under provincial income tax law similar in substance to subsection 118(2), and F is, in the case of an individual resident at the end of the year, in (A) Quebec, the amount determined for C in subparagraph (i), or (B) a province other than Quebec, the amount, if any, determined for the year under provincial income tax law similar in substance to subsection 118.3(1); (f) the Minister has notified the individual of the information filed with the Minister for the year and the individual has not, within 90 days after the day on which the notice is mailed or sent electronically by the Minister, (i) otherwise filed a return of income for the year, or (ii) notified the Minister of corrections to be made to the information on file with the Minister that would increase the individual's taxable income for the year beyond the amount permitted under paragraph (e); and (g) the individual meets such other conditions as the Minister may specify, if any. Marginal note: Invalid filing (2) If a return of income is filed under this section for a taxation year of an individual who did not meet the conditions in subsection (1), the return is deemed to have never been filed. Marginal note: Deemed filing (3) Subject to subsection (2), for the purposes of this Act, a return of income for a taxation year of an individual is deemed to have been filed by the individual at the time of its filing by the Minister in accordance with subsection (1).	2 (1) La même loi est modifiée par adjonction, après l'article 150.1, de ce qui suit : Note marginale : Conditions 150.2 (1) Le ministre peut produire une déclaration de revenu pour une année d'imposition d'un particulier — à l'exception d'une fiducie — qui réside au Canada tout au long de l'année si les conditions suivantes sont réunies : a) le particulier n'a pas avisé le ministre de ne pas produire une déclaration de revenu en son nom pour l'année; b) le particulier n'a pas produit de déclaration de revenu pour une ou plusieurs des trois années d'imposition précédentes; c) le particulier n'a pas produit de déclaration de revenu pour l'année dans les 90 jours suivant la date d'échéance de production qui lui est applicable pour l'année; d) la totalité du revenu éventuel du particulier pour l'année est indiquée dans une déclaration de renseignements présentée au ministre pour l'année; e) le revenu imposable du particulier pour l'année n'excède pas le moins élevé des montants suivants : (i) la somme obtenue par la formule suivante : A + B + C où : A représente le montant calculé selon le paragraphe 118(1.1) pour l'année, B le montant éventuel que le particulier peut déduire pour l'année en application du paragraphe 118(2), C le montant éventuel que le particulier peut déduire pour l'année en application du paragraphe 118.3(1), (ii) la somme obtenue par la formule suivante : D + E + F où D représente, dans le cas d'un particulier résidant à la fin de l'année, selon le cas : (A) au Québec, la valeur de l'élément A de la formule figurant au sous-alinéa (i), (B) dans une province autre que le Québec, le montant éventuel déterminé pour l'année selon la législation fiscale provinciale semblable au paragraphe 118(1.1) quant au fond, E dans le cas d'un particulier résidant à la fin de l'année, selon le cas : (A) au Québec, la valeur de l'élément B de la formule figurant au sous-alinéa (i), (B) dans une province autre que le Québec, le montant éventuel déterminé pour l'année selon la législation fiscale provinciale semblable au paragraphe 118(2) quant au fond, F dans le cas d'un particulier résidant à la fin de l'année, selon le cas : (A) au Québec, la valeur de l'élément C de la formule figurant au sous-alinéa (i), (B) dans une province autre que le Québec, le montant éventuel déterminé pour l'année selon la législation fiscale provinciale semblable au paragraphe 118.3(1) quant au fond; f) le ministre a avisé le particulier des renseignements présentés au ministre pour l'année et le particulier n'a pas, dans les 90 jours suivant la date à laquelle l'avis est envoyé par le ministre par courrier ou par voie électronique, selon le cas : (i) par ailleurs produit une déclaration de revenu pour l'année, (ii) avisé le ministre de corrections à apporter aux renseignements figurant au dossier du ministre qui augmenteraient le revenu imposable du particulier pour l'année au-delà de la somme permise par l'alinéa e); g) le particulier remplit les autres conditions éventuelles précisées par le ministre. Note marginale : Production non valide (2) Si une déclaration de revenu est produite en vertu du présent article pour une année d'imposition d'un particulier qui n'a pas rempli les conditions énoncées au paragraphe (1), la déclaration est réputée ne pas avoir été produite. Note marginale : Production réputée (3) Sous réserve du paragraphe (2), pour l'application de la présente loi, une déclaration de revenu pour une année d'imposition d'un particulier est réputée avoir été produite par ce dernier au moment de sa production par le ministre conformément au paragraphe (1).	0.5822
2793	1-1	[2018:2019]	[2018:2019]	(4) Subsection (1) applies to the 2025 and subsequent taxation years.	(4) Le paragraphe (1) s'applique aux années d'imposition 2025 et suivantes.	0.7130
2794	1-1*	[2019:2021]|subS[0:1/4]	[2019:2021]|subT[0:1/4]	Top-Up Tax Credit 1 (1) If Bill C-4, introduced in the 1st session of the 45th Parliament and entitled the Making Life More Affordable for Canadians Act , receives royal assent, then section 118 of the Income Tax Act is amended by adding the following after subsection (10): Marginal note:	Crédit d'impôt compensatoire 1 (1) En cas de sanction du projet de loi C-4, déposé au cours de la 1 re session de la 45 e législature et intitulé Loi visant à rendre la vie plus abordable pour les Canadiens , l'article 118 de la Loi de l'impôt sur le revenu est modifié par adjonction, après le paragraphe (10), de ce qui suit :	0.6145
2795	1-1*	[2019:2021]|subS[1:2/4]	[2019:2021]|subT[1:2/4]	Top-up tax credit (11) For the purpose of computing the tax payable under this Part by an individual for a taxation year that is after 2024 and before 2031, there may be deducted the amount determined by the formula (A − B × C) × D where A is the amount determined by the formula E + F where E is the total of all amounts each of which is an amount deducted by the individual in computing the individual's tax payable for the year under this Part under any of subsections (1), (2), (3) and (10), and sections 118.01,118.041,118.05,118.06,118.07,118.2,118.3,118.5,118.61,118.62,118.7,118.8 and 118.9, and F is the lesser of (a) the amount deducted by the individual in computing the individual's tax payable for the year under this Part under section 118.1, and (b) $200 multiplied by the appropriate percentage for the year;	Note marginale : Crédit d'impôt compensatoire (11) Est déductible dans le calcul de l'impôt payable par un particulier en vertu de la présente partie pour une année d'imposition postérieure à 2024 et antérieure à 2031 la somme obtenue par la formule suivante : (A − B × C) × D où : A représente la somme obtenue par la formule suivante : E + F où : E représente le total des sommes représentant chacune une somme déduite par le particulier dans le calcul de son impôt payable pour l'année en vertu de la présente partie par l'effet de l'un des paragraphes (1), (2), (3) et (10) et des articles 118.01,118.041,118.05,118.06,118.07,118.2,118.3,118.5,118.61,118.62,118.7,118.8 et 118.9, F la moins élevée des sommes suivantes : a) la somme déduite par le particulier dans le calcul de son impôt payable pour l'année en vertu de la présente partie par l'effet de l'article 118.1, b) le produit de la multiplication de 200 $ par le taux de base pour l'année;	0.6659
2796	1-1*	[2019:2021]|subS[2:3/4]	[2019:2021]|subT[2:3/4]	B is the appropriate percentage for the year;	B le taux de base pour l'année;	0.4853
2797	1-1*	[2019:2021]|subS[3:4/4]	[2019:2021]|subT[3:4/4]	C is the first dollar amount for the year referred to in paragraph 117(2)(b); and D is, (a) if the taxation year is 2025,3.45%, and (b) in any other case, 7.14%.	C la première somme visée à l'alinéa 117(2)b) pour l'année; D : a) si l'année d'imposition est 2025,3,45 %, b) sinon, 7,14 %.	0.5927
2798	1-1	[2021:2022]	[2021:2022]	(2) Subsection (1) is deemed to have come into force on January 1, 2025.	(2) Le paragraphe (1) est réputé être entré en vigueur le 1 er janvier 2025.	0.6628
2799	1-1	[2022:2023]	[2022:2023]	2 (1) If Bill C-4, introduced in the 1st session of the 45th Parliament and entitled the Making Life More Affordable for Canadians Act , receives royal assent, then the description of C in subsection 118.61(1) of the Income Tax Act is replaced by the following: C is the lesser of the value of B and the amount that would be the individual's tax payable under this Part for the year if no amount were deductible under this Division (other than an amount deductible under this section and any of subsections 118(1) to (10) and sections 118.01 to 118.07, 118.3 and 118.7);	2 (1) En cas de sanction du projet de loi C-4, déposé au cours de la 1 re session de la 45 e législature et intitulé Loi visant à rendre la vie plus abordable pour les Canadiens , l'élément C de la formule figurant au paragraphe 118.61(1) de la Loi de l'impôt sur le revenu est remplacé par ce qui suit : C la valeur de l'élément B ou, si elle est inférieure, la somme qui correspondrait à l'impôt payable par le particulier en vertu de la présente partie pour l'année si aucune somme, sauf celles visées au présent article, à l'un des paragraphes 118(1) à (10) ou à l'un des articles 118.01 à 118.07, 118.3 et 118.7, n'était déductible en application de la présente section;	0.6640
2800	1-1	[2023:2024]	[2023:2024]	(2) If Bill C-4, introduced in the 1st session of the 45th Parliament and entitled the Making Life More Affordable for Canadians Act , receives royal assent, then paragraph 118.61(2)(b) of the Income Tax Act is replaced by the following: (b) the amount that would be the individual's tax payable under this Part for the year if no amount were deductible under this Division (other than an amount deductible under this section and any of subsections 118(1) to (10) and sections 118.01 to 118.07, 118.3 and 118.7).	(2) En cas de sanction du projet de loi C-4, déposé au cours de la 1 re session de la 45 e législature et intitulé Loi visant à rendre la vie plus abordable pour les Canadiens , l'alinéa 118.61(2)b) de la Loi de l'impôt sur le revenu est remplacé par ce qui suit : b) la somme qui correspondrait à son impôt payable en vertu de la présente partie pour l'année si aucune somme, sauf celles visées au présent article, à l'un des paragraphes 118(1) à (10) ou à l'un des articles 118.01 à 118.07, 118.3 et 118.7, n'était déductible en application de la présente section.	0.6668
2801	1-1	[2024:2025]	[2024:2025]	(3) Subsections (1) and (2) are deemed to have come into force on January 1, 2025.	(3) Les paragraphes (1) et (2) sont réputés être entrés en vigueur le 1 er janvier 2025.	0.6616
2802	2-2	[2025:2027]	[2025:2027]	Qualified Investments for Registered Plans 1 (1) Paragraph 108(2)(c) of the Act is replaced by the following: (c) the fair market value of the property of the trust at the end of 1993 was primarily attributable to real property or an interest in real property — or to immovables or a real right in immovables — and the trust was a unit trust throughout any calendar year that ended before 1994 and the fair market value of the property of the trust at the particular time is primarily attributable to property described in paragraph (a) or subparagraph (c)(i) of the definition qualified investment in subsection 207.01(1), real property or an interest in real property — or immovables or a real right in immovables — or any combination of those properties.	Régimes enregistrés – placements admissibles 1 (1) Le sous-alinéa 108(2)c)(iii) de la même loi est remplacé par ce qui suit : (iii) la juste valeur marchande de ses biens au moment donné est principalement attribuable à des biens visés à l'alinéa a) ou au sous-alinéa c)(i) de la définition de placement admissible au paragraphe 207.01(1), à des immeubles — ou droits réels sur ceux-ci — ou des biens réels — ou intérêts sur ceux-ci — ou à l'un et l'autre de ces types de biens.	0.0283
2803	1-1	[2027:2028]	[2027:2028]	(2) Subsection (1) comes into force on January 1, 2027.	(2) Le paragraphe (1) entre en vigueur le 1 er janvier 2027.	0.6698
2804	1-1	[2028:2029]	[2028:2029]	2 (1) Paragraph (a) of the definition qualified REIT property in subsection 122.1(1) of the Act is replaced by the following: (a) a real or immovable property that is capital property, an eligible resale property, an indebtedness of a Canadian corporation represented by a bankers' acceptance, a property described in paragraph (a) or subparagraph (c)(i) of the definition qualified investment in subsection 207.01(1) or a deposit with a credit union;	2 (1) L'alinéa a) de la définition de bien admissible de FPI , au paragraphe 122.1(1) de la même loi, est remplacé par ce qui suit : a) un bien immeuble ou réel qui est une immobilisation, un bien de revente admissible, une dette d'une société canadienne représentée par une acceptation bancaire, un bien visé à l'alinéa a) ou au sous-alinéa c)(i) de la définition de placement admissible au paragraphe 207.01(1) ou un dépôt auprès d'une caisse de crédit;	0.5322
2805	1-1	[2029:2030]	[2029:2030]	(2) Paragraph (d) of the definition real estate investment trust in subsection 122.1(1) of the Act is replaced by the following: (d) at each time in the taxation year an amount, that is equal to 75% or more of the equity value of the trust at that time, is the amount that is the total fair market value of all properties held by the trust each of which is a real or immovable property that is capital property, an eligible resale property, an indebtedness of a Canadian corporation represented by a bankers' acceptance, a property described in paragraph (a) or subparagraph (c)(i) of the definition qualified investment in subsection 207.01(1) or a deposit with a credit union; and	(2) L'alinéa d) de la définition de fiducie de placement immobilier , au paragraphe 122.1(1) de la même loi, est remplacé par ce qui suit : d) la juste valeur marchande totale des biens qu'elle détient, dont chacun est un bien immeuble ou réel qui est une immobilisation, un bien de revente admissible, une dette d'une société canadienne représentée par une acceptation bancaire, un bien visé à l'alinéa a) ou au sous-alinéa c)(i) de la définition de placement admissible au paragraphe 207.01(1) ou un dépôt auprès d'une caisse de crédit, n'est à aucun moment de l'année inférieure à 75 % de la valeur de ses capitaux propres au moment considéré;	0.5275
